speech_embedding_idx,speech_embedding_path,speaker_id,text_embedding_idx,text,audio_event_idx,audio_file_path,audio_start_time,audio_stop_time,audio_sample_rate,audio_start_sample,audio_stop_sample,n_audio_samples
0,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,16,1,17,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,1.192000,1.255000,12000,14304,15060,756
1,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,17,我六岁那年，,18,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,1.265000,1.571000,12000,15180,18852,3672
2,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,18,在一本描写原始森林的名叫《真实的故事》的书上，,19,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,1.583000,2.821000,12000,18996,33852,14856
3,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,19,看见过一幅精彩的插图，,20,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,2.841000,3.446000,12000,34092,41352,7260
4,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,20,画的是一条蟒蛇在吞吃一头猛兽。,21,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,3.457000,4.321000,12000,41484,51852,10368
5,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,21,我现在把它照样画在上面。,22,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,4.330000,5.008000,12000,51960,60096,8136
6,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,22,书中写道：,23,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,5.017000,5.258000,12000,60204,63096,2892
7,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,23,“蟒蛇把猎物囫囵吞下，,24,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,5.265000,5.821000,12000,63180,69852,6672
8,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,24,嚼都不嚼。,25,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,5.829000,6.071000,12000,69948,72852,2904
9,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,25,然后它就无法动弹，,26,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,6.079000,6.571000,12000,72948,78852,5904
