subject,session,task,run,local_row_idx,global_row_idx,text_embedding_idx,start_time,stop_time,sfreq,start_sample,stop_sample,n_samples,eeg_vhdr_path,events_tsv_path,text_embedding_path
sub-03,ses-littleprince,lis,11,0,0,16,4.792000,5.044000,250.000000,1198,1261,63,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_eeg.vhdr,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_events.tsv,D:\dataset\ChineseEEG-2\materials&embeddings\text_embedding\text_embeddings_littleprince.npy
sub-03,ses-littleprince,lis,11,1,1,17,5.084000,6.308000,250.000000,1271,1577,306,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_eeg.vhdr,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_events.tsv,D:\dataset\ChineseEEG-2\materials&embeddings\text_embedding\text_embeddings_littleprince.npy
sub-03,ses-littleprince,lis,11,2,2,18,6.360000,11.308000,250.000000,1590,2827,1237,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_eeg.vhdr,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_events.tsv,D:\dataset\ChineseEEG-2\materials&embeddings\text_embedding\text_embeddings_littleprince.npy
sub-03,ses-littleprince,lis,11,3,3,19,11.388000,13.808000,250.000000,2847,3452,605,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_eeg.vhdr,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_events.tsv,D:\dataset\ChineseEEG-2\materials&embeddings\text_embedding\text_embeddings_littleprince.npy
sub-03,ses-littleprince,lis,11,4,4,20,13.852000,17.308000,250.000000,3463,4327,864,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_eeg.vhdr,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_events.tsv,D:\dataset\ChineseEEG-2\materials&embeddings\text_embedding\text_embeddings_littleprince.npy
sub-03,ses-littleprince,lis,11,5,5,21,17.348000,20.056000,250.000000,4337,5014,677,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_eeg.vhdr,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_events.tsv,D:\dataset\ChineseEEG-2\materials&embeddings\text_embedding\text_embeddings_littleprince.npy
sub-03,ses-littleprince,lis,11,6,6,22,20.092000,21.056000,250.000000,5023,5264,241,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_eeg.vhdr,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_events.tsv,D:\dataset\ChineseEEG-2\materials&embeddings\text_embedding\text_embeddings_littleprince.npy
sub-03,ses-littleprince,lis,11,7,7,23,21.084000,23.308000,250.000000,5271,5827,556,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_eeg.vhdr,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_events.tsv,D:\dataset\ChineseEEG-2\materials&embeddings\text_embedding\text_embeddings_littleprince.npy
sub-03,ses-littleprince,lis,11,8,8,24,23.340000,24.308000,250.000000,5835,6077,242,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_eeg.vhdr,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_events.tsv,D:\dataset\ChineseEEG-2\materials&embeddings\text_embedding\text_embeddings_littleprince.npy
sub-03,ses-littleprince,lis,11,9,9,25,24.340000,26.308000,250.000000,6085,6577,492,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_eeg.vhdr,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_events.tsv,D:\dataset\ChineseEEG-2\materials&embeddings\text_embedding\text_embeddings_littleprince.npy
sub-03,ses-littleprince,lis,11,10,10,26,26.336000,28.812000,250.000000,6584,7203,619,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_eeg.vhdr,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_events.tsv,D:\dataset\ChineseEEG-2\materials&embeddings\text_embedding\text_embeddings_littleprince.npy
sub-03,ses-littleprince,lis,11,11,11,27,28.848000,29.308000,250.000000,7212,7327,115,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_eeg.vhdr,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_events.tsv,D:\dataset\ChineseEEG-2\materials&embeddings\text_embedding\text_embeddings_littleprince.npy
sub-03,ses-littleprince,lis,11,12,12,28,29.352000,32.808000,250.000000,7338,8202,864,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_eeg.vhdr,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_events.tsv,D:\dataset\ChineseEEG-2\materials&embeddings\text_embedding\text_embeddings_littleprince.npy
sub-03,ses-littleprince,lis,11,13,13,29,32.852000,37.060000,250.000000,8213,9265,1052,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_eeg.vhdr,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_events.tsv,D:\dataset\ChineseEEG-2\materials&embeddings\text_embedding\text_embeddings_littleprince.npy
sub-03,ses-littleprince,lis,11,14,14,30,37.092000,38.564000,250.000000,9273,9641,368,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_eeg.vhdr,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_events.tsv,D:\dataset\ChineseEEG-2\materials&embeddings\text_embedding\text_embeddings_littleprince.npy
sub-03,ses-littleprince,lis,11,15,15,31,38.584000,39.808000,250.000000,9646,9952,306,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_eeg.vhdr,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_events.tsv,D:\dataset\ChineseEEG-2\materials&embeddings\text_embedding\text_embeddings_littleprince.npy
sub-03,ses-littleprince,lis,11,16,16,32,39.840000,42.308000,250.000000,9960,10577,617,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_eeg.vhdr,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_events.tsv,D:\dataset\ChineseEEG-2\materials&embeddings\text_embedding\text_embeddings_littleprince.npy
sub-03,ses-littleprince,lis,11,17,17,33,42.340000,45.056000,250.000000,10585,11264,679,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_eeg.vhdr,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_events.tsv,D:\dataset\ChineseEEG-2\materials&embeddings\text_embedding\text_embeddings_littleprince.npy
sub-03,ses-littleprince,lis,11,18,18,34,45.104000,46.308000,250.000000,11276,11577,301,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_eeg.vhdr,D:\dataset\ChineseEEG-2\PassiveListening\derivatives\preprocessed\sub-03\ses-littleprince\eeg\sub-03_ses-littleprince_task-lis_run-11_events.tsv,D:\dataset\ChineseEEG-2\materials&embeddings\text_embedding\text_embeddings_littleprince.npy
